,회사명,업종
0,DN오토모티브,일차전지 및 축전지 제조업
1,F&F,봉제의복 제조업
2,HD현대,석유 정제품 제조업
3,KCC,기타 화학제품 제조업
4,KCC글라스,유리 및 유리제품 제조업
5,KG스틸,1차 철강 제조업
6,KT&G,담배 제조업
7,LG에너지솔루션,일차전지 및 축전지 제조업
8,LSELECTRIC,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
9,NPC,플라스틱제품 제조업
10,POSCO홀딩스,1차 철강 제조업
11,SHD,1차 철강 제조업
12,SJM,자동차 신품 부품 제조업
13,SK바이오사이언스,기초 의약물질 및 생물학적 제제 제조업
14,SK아이이테크놀로지,일차전지 및 축전지 제조업
15,TBH글로벌,봉제의복 제조업
16,TKG휴켐스,기타 화학제품 제조업
17,금호석유,기초 화학물질 제조업
18,다이나믹디자인,특수 목적용 기계 제조업
19,대덕전자,전자부품 제조업
20,대림B&CO,"내화, 비내화 요업제품 제조업"
21,두산에너빌리티,일반 목적용 기계 제조업
22,롯데칠성,비알코올음료 및 얼음 제조업
23,명신산업,자동차 신품 부품 제조업
24,미창석유,석유 정제품 제조업
25,보령,의약품 제조업
26,삼영전자,전자부품 제조업
27,삼영화학,플라스틱제품 제조업
28,삼화전자,영상 및 음향기기 제조업
29,삼화콘덴서,전자부품 제조업
30,삼화페인트,기타 화학제품 제조업
31,서울가스,연료용 가스 제조 및 배관공급업
32,서울식품,기타 식품 제조업
33,세아베스틸지주,1차 철강 제조업
34,솔루엠,전자부품 제조업
35,쌍용C&E,"시멘트, 석회, 플라스터 및 그 제품 제조업"
36,쌍용차,자동차용 엔진 및 자동차 제조업
37,아모레G,기타 화학제품 제조업
38,아주스틸,1차 철강 제조업
39,에스디바이오센서,의료용 기기 제조업
40,에스엠벡셀,자동차 신품 부품 제조업
41,에이프로젠,기타 금속 가공제품 제조업
42,와이투솔루션,반도체 제조업
43,우성,"곡물가공품, 전분 및 전분제품 제조업"
44,유나이티드제약,의약품 제조업
45,일진하이솔루스,그외 기타 운송장비 제조업
46,진양폴리,플라스틱제품 제조업
47,태양금속,자동차 신품 부품 제조업
48,포스코스틸리온,1차 철강 제조업
49,하이트론,영상 및 음향기기 제조업
50,한국단자,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
51,한국석유,기타 비금속 광물제품 제조업
52,한국수출포장,"골판지, 종이 상자 및 종이용기 제조업"
53,한국주철관,1차 철강 제조업
54,한국프랜지,자동차 신품 부품 제조업
55,한신기계,일반 목적용 기계 제조업
56,한컴라이프케어,의료용 기기 제조업
57,현대엘리베이,일반 목적용 기계 제조업
58,현대차,자동차용 엔진 및 자동차 제조업
59,화승알앤에이,자동차 신품 부품 제조업
60,화승인더,플라스틱제품 제조업
61,휴니드,통신 및 방송 장비 제조업
62,3S,전자부품 제조업
63,AP위성,통신 및 방송 장비 제조업
64,CBI,자동차 신품 부품 제조업
65,CS,통신 및 방송 장비 제조업
66,CSA코스믹,기타 화학제품 제조업
67,DMS,특수 목적용 기계 제조업
68,EV수성,일반 목적용 기계 제조업
69,GH신소재,기타 섬유제품 제조업
70,GST,특수 목적용 기계 제조업
71,HB솔루션,특수 목적용 기계 제조업
72,HB테크놀러지,특수 목적용 기계 제조업
73,HK이노엔,의약품 제조업
74,HPSP,특수 목적용 기계 제조업
75,HRS,합성고무 및 플라스틱 물질 제조업
76,ISC,전자부품 제조업
77,ITX-AI,영상 및 음향기기 제조업
78,JW신약,의약품 제조업
79,KBG,합성고무 및 플라스틱 물질 제조업
80,KBI메탈,1차 비철금속 제조업
81,KB오토시스,자동차 신품 부품 제조업
82,KH전자,영상 및 음향기기 제조업
83,KPX생명과학,기초 의약물질 및 생물학적 제제 제조업
84,KX하이텍,플라스틱제품 제조업
85,RF머트리얼즈,전자부품 제조업
86,S&K폴리텍,전자부품 제조업
87,SBW생명과학,전자부품 제조업
88,SG,기타 비금속 광물제품 제조업
89,THEMIDONG,영상 및 음향기기 제조업
90,THQ,통신 및 방송 장비 제조업
91,TJ미디어,영상 및 음향기기 제조업
92,TKG애강,플라스틱제품 제조업
93,TPC,일반 목적용 기계 제조업
94,TS트릴리온,기타 화학제품 제조업
95,UCI,전자부품 제조업
96,WI,그외 기타 제품 제조업
97,가온미디어,통신 및 방송 장비 제조업
98,가온칩스,반도체 제조업
99,강스템바이오텍,기초 의약물질 및 생물학적 제제 제조업
100,강원에너지,"구조용 금속제품, 탱크 및 증기발생기 제조업"
101,경남스틸,1차 철강 제조업
102,경남제약,의약품 제조업
103,경동제약,의약품 제조업
104,경창산업,자동차 신품 부품 제조업
105,고려시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업"
106,고려제약,의약품 제조업
107,광림,자동차용 엔진 및 자동차 제조업
108,광무,통신 및 방송 장비 제조업
109,광진실업,1차 철강 제조업
110,구영테크,자동차 신품 부품 제조업
111,국순당,알코올음료 제조업
112,국영지앤엠,유리 및 유리제품 제조업
113,국일신동,1차 비철금속 제조업
114,국전약품,의약품 제조업
115,그리티,봉제의복 제조업
116,그린플러스,1차 비철금속 제조업
117,금강철강,1차 철강 제조업
118,기가레인,특수 목적용 기계 제조업
119,기산텔레콤,통신 및 방송 장비 제조업
120,나노,기초 화학물질 제조업
121,나노브릭,기초 화학물질 제조업
122,나노신소재,기타 화학제품 제조업
123,나노씨엠에스,전자부품 제조업
124,나노캠텍,플라스틱제품 제조업
125,나라엠앤디,특수 목적용 기계 제조업
126,나래나노텍,특수 목적용 기계 제조업
127,나무가,전자부품 제조업
128,나이벡,의료용품 및 기타 의약 관련제품 제조업
129,나인테크,특수 목적용 기계 제조업
130,네오셈,특수 목적용 기계 제조업
131,네오오토,자동차 신품 부품 제조업
132,네오크레마,기타 식품 제조업
133,네오티스,자동차 신품 부품 제조업
134,네오펙트,의료용 기기 제조업
135,네온테크,특수 목적용 기계 제조업
136,넥스턴바이오,특수 목적용 기계 제조업
137,넥스트아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
138,넥스트칩,반도체 제조업
139,넥스틴,특수 목적용 기계 제조업
140,노바텍,그외 기타 제품 제조업
141,노블엠앤비,사진장비 및 광학기기 제조업
142,노을,의료용 기기 제조업
143,녹십자엠에스,의료용품 및 기타 의약 관련제품 제조업
144,녹십자웰빙,의약품 제조업
145,누리플랜,"구조용 금속제품, 탱크 및 증기발생기 제조업"
146,누보,"비료, 농약 및 살균, 살충제 제조업"
147,뉴로스,일반 목적용 기계 제조업
148,뉴보텍,플라스틱제품 제조업
149,뉴인텍,전자부품 제조업
150,뉴트리,기타 식품 제조업
151,뉴파워프라즈마,특수 목적용 기계 제조업
152,뉴프렉스,전자부품 제조업
153,다믈멀티미디어,반도체 제조업
154,다보링크,통신 및 방송 장비 제조업
155,다산네트웍스,통신 및 방송 장비 제조업
156,대동기어,특수 목적용 기계 제조업
157,대동스틸,1차 철강 제조업
158,대륙제관,기타 금속 가공제품 제조업
159,대림제지,기타 종이 및 판지 제품 제조업
160,대모,특수 목적용 기계 제조업
161,대보마그네틱,기타 전기장비 제조업
162,대봉엘에스,의약품 제조업
163,대성미생물,의약품 제조업
164,대성엘텍,영상 및 음향기기 제조업
165,대성파인텍,자동차 신품 부품 제조업
166,대양제지,"펄프, 종이 및 판지 제조업"
167,대원산업,자동차 신품 부품 제조업
168,대유,"비료, 농약 및 살균, 살충제 제조업"
169,대유에이피,자동차 신품 부품 제조업
170,대정화금,기초 화학물질 제조업
171,대주산업,동물용 사료 및 조제식품 제조업
172,대창솔루션,"구조용 금속제품, 탱크 및 증기발생기 제조업"
173,대창스틸,1차 철강 제조업
174,대한광통신,절연선 및 케이블 제조업
175,대한뉴팜,의약품 제조업
176,대한약품,의약품 제조업
177,대호특수강,1차 철강 제조업
178,대화제약,의약품 제조업
179,더네이쳐홀딩스,의복 액세서리 제조업
180,덕산테코피아,기타 화학제품 제조업
181,덕산하이메탈,반도체 제조업
182,덕신하우징,"구조용 금속제품, 탱크 및 증기발생기 제조업"
183,덕우전자,전자부품 제조업
184,덴티스,의료용 기기 제조업
185,동구바이오제약,의약품 제조업
186,동국산업,1차 철강 제조업
187,동국알앤에스,기타 비금속 광물제품 제조업
188,동성화인텍,기초 화학물질 제조업
189,동아엘텍,특수 목적용 기계 제조업
190,동아화성,고무제품 제조업
191,동양에스텍,1차 철강 제조업
192,동양이엔피,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
193,동양파일,"시멘트, 석회, 플라스터 및 그 제품 제조업"
194,동운아나텍,반도체 제조업
195,동일기연,전자부품 제조업
196,동일철강,1차 철강 제조업
197,듀오백,가구 제조업
198,디바이스이엔지,특수 목적용 기계 제조업
199,디스플레이텍,전자부품 제조업
200,디아이티,특수 목적용 기계 제조업
201,디아크,자동차 신품 부품 제조업
202,디알젬,의료용 기기 제조업
203,디알텍,의료용 기기 제조업
204,디에스케이,특수 목적용 기계 제조업
205,디에이테크놀로지,특수 목적용 기계 제조업
206,디에이피,전자부품 제조업
207,디엔에프,기타 화학제품 제조업
208,디오,의료용 기기 제조업
209,디와이씨,자동차 신품 부품 제조업
210,디와이피엔에프,일반 목적용 기계 제조업
211,디이엔티,특수 목적용 기계 제조업
212,디젠스,자동차 신품 부품 제조업
213,디지아이,컴퓨터 및 주변장치 제조업
214,디케이락,일반 목적용 기계 제조업
215,디케이앤디,플라스틱제품 제조업
216,디케이티,전자부품 제조업
217,딜리,컴퓨터 및 주변장치 제조업
218,라닉스,반도체 제조업
219,라온테크,특수 목적용 기계 제조업
220,라이온켐텍,기타 화학제품 제조업
221,라이트론,통신 및 방송 장비 제조업
222,라파스,기타 화학제품 제조업
223,램테크놀러지,기초 화학물질 제조업
224,러셀,특수 목적용 기계 제조업
225,레몬,화학섬유 제조업
226,레이,의료용 기기 제조업
227,레이언스,의료용 기기 제조업
228,레이저쎌,특수 목적용 기계 제조업
229,레이크머티리얼즈,기타 화학제품 제조업
230,레인보우로보틱스,특수 목적용 기계 제조업
231,로보로보,기타 전기장비 제조업
232,로보티즈,특수 목적용 기계 제조업
233,로체시스템즈,특수 목적용 기계 제조업
234,루멘스,반도체 제조업
235,루트로닉,의료용 기기 제조업
236,리더스코스메틱,기타 화학제품 제조업
237,리메드,의료용 기기 제조업
238,마이크로디지탈,의료용 기기 제조업
239,마이크로컨텍솔,전자부품 제조업
240,마이크로프랜드,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
241,매일홀딩스,낙농제품 및 식용빙과류 제조업
242,매직마이크로,전자부품 제조업
243,머큐리,통신 및 방송 장비 제조업
244,메디아나,의료용 기기 제조업
245,메디앙스,기타 화학제품 제조업
246,메카로,기타 화학제품 제조업
247,메타바이오메드,의료용품 및 기타 의약 관련제품 제조업
248,멕아이씨에스,의료용 기기 제조업
249,멜파스,전자부품 제조업
250,명성티엔에스,특수 목적용 기계 제조업
251,모베이스,통신 및 방송 장비 제조업
252,모베이스전자,자동차 신품 부품 제조업
253,모아텍,전자부품 제조업
254,모트렉스,자동차 신품 부품 제조업
255,모헨즈,"시멘트, 석회, 플라스터 및 그 제품 제조업"
256,무림SP,"펄프, 종이 및 판지 제조업"
257,미래나노텍,플라스틱제품 제조업
258,미래생명자원,동물용 사료 및 조제식품 제조업
259,미래컴퍼니,특수 목적용 기계 제조업
260,미코,반도체 제조업
261,미코바이오메드,의료용 기기 제조업
262,바디텍메드,의료용품 및 기타 의약 관련제품 제조업
263,바른전자,반도체 제조업
264,바이넥스,의약품 제조업
265,바이오니아,의료용품 및 기타 의약 관련제품 제조업
266,바이오다인,의료용 기기 제조업
267,바이오로그디바이스,전자부품 제조업
268,바이오솔루션,기초 의약물질 및 생물학적 제제 제조업
269,바이오스마트,전자부품 제조업
270,바이오에프디엔씨,기초 의약물질 및 생물학적 제제 제조업
271,바이오플러스,기초 의약물질 및 생물학적 제제 제조업
272,바이옵트로,특수 목적용 기계 제조업
273,바텍,의료용 기기 제조업
274,배럴,봉제의복 제조업
275,백금T&A,통신 및 방송 장비 제조업
276,범한퓨얼셀,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
277,베셀,특수 목적용 기계 제조업
278,보광산업,기타 비금속 광물제품 제조업
279,보로노이,기초 의약물질 및 생물학적 제제 제조업
280,보성파워텍,"구조용 금속제품, 탱크 및 증기발생기 제조업"
281,본느,기타 화학제품 제조업
282,부스타,"구조용 금속제품, 탱크 및 증기발생기 제조업"
283,뷰웍스,의료용 기기 제조업
284,브릿지바이오테라퓨틱스,기초 의약물질 및 생물학적 제제 제조업
285,브이씨,운동 및 경기용구 제조업
286,브이원텍,특수 목적용 기계 제조업
287,블루베리NFT,고무제품 제조업
288,블루콤,영상 및 음향기기 제조업
289,블리츠웨이,"인형,장난감 및 오락용품 제조업"
290,비나텍,일차전지 및 축전지 제조업
291,비덴트,통신 및 방송 장비 제조업
292,비디아이,일반 목적용 기계 제조업
293,비보존헬스케어,반도체 제조업
294,비비씨,그외 기타 제품 제조업
295,비씨엔씨,반도체 제조업
296,비씨월드제약,의약품 제조업
297,비아트론,특수 목적용 기계 제조업
298,비에이치아이,일반 목적용 기계 제조업
299,비엠티,일반 목적용 기계 제조업
300,비올,의료용 기기 제조업
301,비츠로시스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
302,비케이홀딩스,전자부품 제조업
303,비피도,기타 식품 제조업
304,빅솔론,컴퓨터 및 주변장치 제조업
305,빅텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
306,빛샘전자,전자부품 제조업
307,삼강엠앤티,1차 철강 제조업
308,삼기,자동차 신품 부품 제조업
309,삼륭물산,"골판지, 종이 상자 및 종이용기 제조업"
310,삼목에스폼,"구조용 금속제품, 탱크 및 증기발생기 제조업"
311,삼보모터스,자동차 신품 부품 제조업
312,삼보산업,1차 비철금속 제조업
313,삼보판지,"펄프, 종이 및 판지 제조업"
314,삼아제약,의약품 제조업
315,삼양옵틱스,사진장비 및 광학기기 제조업
316,삼영에스앤씨,전자부품 제조업
317,삼영엠텍,"구조용 금속제품, 탱크 및 증기발생기 제조업"
318,삼영이엔씨,통신 및 방송 장비 제조업
319,삼지전자,통신 및 방송 장비 제조업
320,삼진,통신 및 방송 장비 제조업
321,삼진엘앤디,그외 기타 제품 제조업
322,삼현철강,1차 철강 제조업
323,상보,플라스틱제품 제조업
324,상상인인더스트리,특수 목적용 기계 제조업
325,상신이디피,일차전지 및 축전지 제조업
326,상신전자,전자부품 제조업
327,새로닉스,전자부품 제조업
328,새빗켐,기타 화학제품 제조업
329,샘씨엔에스,전자부품 제조업
330,서남,기타 전기장비 제조업
331,서산,"시멘트, 석회, 플라스터 및 그 제품 제조업"
332,서암기계공업,일반 목적용 기계 제조업
333,서연탑메탈,특수 목적용 기계 제조업
334,서울바이오시스,반도체 제조업
335,서울제약,의약품 제조업
336,서원인텍,통신 및 방송 장비 제조업
337,서전기전,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
338,서진오토모티브,자동차 신품 부품 제조업
339,서호전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
340,석경에이티,기초 화학물질 제조업
341,선익시스템,특수 목적용 기계 제조업
342,선진뷰티사이언스,기타 화학제품 제조업
343,성광벤드,1차 철강 제조업
344,성우전자,통신 및 방송 장비 제조업
345,성우테크론,전자부품 제조업
346,성우하이텍,자동차 신품 부품 제조업
347,성일하이텍,기초 화학물질 제조업
348,성창오토텍,자동차 신품 부품 제조업
349,성호전자,전자부품 제조업
350,세경하이테크,전자부품 제조업
351,세동,자동차 신품 부품 제조업
352,세림B&G,플라스틱제품 제조업
353,세명전기,기타 금속 가공제품 제조업
354,세아메카닉스,기타 금속 가공제품 제조업
355,세운메디칼,의료용품 및 기타 의약 관련제품 제조업
356,세원물산,자동차 신품 부품 제조업
357,세종메디칼,의료용 기기 제조업
358,세진티에스,전자부품 제조업
359,세코닉스,사진장비 및 광학기기 제조업
360,세화피앤씨,기타 화학제품 제조업
361,센코,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
362,셀레믹스,기초 의약물질 및 생물학적 제제 제조업
363,셀루메드,기초 의약물질 및 생물학적 제제 제조업
364,셀바스헬스케어,의료용 기기 제조업
365,소니드,기타 화학제품 제조업
366,소룩스,전구 및 조명장치 제조업
367,솔고바이오,의료용 기기 제조업
368,솔루에타,전자부품 제조업
369,솔브레인,기타 화학제품 제조업
370,수젠텍,의료용품 및 기타 의약 관련제품 제조업
371,슈프리마,통신 및 방송 장비 제조업
372,슈프리마아이디,전자부품 제조업
373,슈프리마에이치큐,통신 및 방송 장비 제조업
374,스마트솔루션즈,특수 목적용 기계 제조업
375,스맥,특수 목적용 기계 제조업
376,스카이문스테크놀로지,통신 및 방송 장비 제조업
377,스킨앤스킨,기타 화학제품 제조업
378,스타플렉스,플라스틱제품 제조업
379,스페코,특수 목적용 기계 제조업
380,승일,기타 금속 가공제품 제조업
381,시너지이노베이션,의료용 기기 제조업
382,시노펙스,전자부품 제조업
383,시스웍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
384,신도기연,특수 목적용 기계 제조업
385,신성델타테크,가정용 기기 제조업
386,신신제약,의약품 제조업
387,신일제약,의약품 제조업
388,신진에스엠,기타 금속 가공제품 제조업
389,신화콘텍,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
390,심텍,전자부품 제조업
391,심텍홀딩스,통신 및 방송 장비 제조업
392,싸이맥스,특수 목적용 기계 제조업
393,쎄노텍,기타 비금속 광물제품 제조업
394,쎄니트,1차 철강 제조업
395,쎄트렉아이,"항공기,우주선 및 부품 제조업"
396,쎌바이오텍,기초 의약물질 및 생물학적 제제 제조업
397,쏠리드,통신 및 방송 장비 제조업
398,씨앤씨인터내셔널,기타 화학제품 제조업
399,씨앤지하이테크,특수 목적용 기계 제조업
400,씨앤투스성진,기타 섬유제품 제조업
401,씨에스베어링,일반 목적용 기계 제조업
402,씨엔플러스,전자부품 제조업
403,씨유메디칼,의료용 기기 제조업
404,씨유테크,전자부품 제조업
405,씨큐브,기초 화학물질 제조업
406,씨티씨바이오,의약품 제조업
407,씨티케이,기타 화학제품 제조업
408,아나패스,반도체 제조업
409,아리온,통신 및 방송 장비 제조업
410,아모그린텍,전자부품 제조업
411,아모센스,전자부품 제조업
412,아모텍,전자부품 제조업
413,아바코,특수 목적용 기계 제조업
414,아바텍,전자부품 제조업
415,아비코전자,전자부품 제조업
416,아세아텍,특수 목적용 기계 제조업
417,아셈스,플라스틱제품 제조업
418,아스타,의료용품 및 기타 의약 관련제품 제조업
419,아스트,"항공기,우주선 및 부품 제조업"
420,아스플로,일반 목적용 기계 제조업
421,아우딘퓨쳐스,기타 화학제품 제조업
422,아이디스,통신 및 방송 장비 제조업
423,아이디피,컴퓨터 및 주변장치 제조업
424,아이센스,의료용 기기 제조업
425,아이쓰리시스템,전자부품 제조업
426,아이씨디,특수 목적용 기계 제조업
427,아이씨에이치,그외 기타 제품 제조업
428,아이씨케이,전자부품 제조업
429,아이앤씨,반도체 제조업
430,아이에이,전자부품 제조업
431,아이엘사이언스,전구 및 조명장치 제조업
432,아이엠,전자부품 제조업
433,아이원스,특수 목적용 기계 제조업
434,아이윈,자동차 신품 부품 제조업
435,아이윈플러스,전자부품 제조업
436,아이컴포넌트,전자부품 제조업
437,아이큐어,의약품 제조업
438,아이패밀리에스씨,기타 화학제품 제조업
439,아진산업,자동차 신품 부품 제조업
440,아진엑스텍,반도체 제조업
441,안국약품,의약품 제조업
442,알로이스,통신 및 방송 장비 제조업
443,알리코제약,의료용품 및 기타 의약 관련제품 제조업
444,알에스오토메이션,전자부품 제조업
445,알에프세미,반도체 제조업
446,알에프텍,통신 및 방송 장비 제조업
447,알엔투테크놀로지,전자부품 제조업
448,알톤스포츠,그외 기타 운송장비 제조업
449,알파홀딩스,반도체 제조업
450,애니젠,기초 의약물질 및 생물학적 제제 제조업
451,애드바이오텍,의약품 제조업
452,액트로,전자부품 제조업
453,앤디포스,플라스틱제품 제조업
454,앤씨앤,반도체 제조업
455,앱코,컴퓨터 및 주변장치 제조업
456,앱클론,의료용품 및 기타 의약 관련제품 제조업
457,야스,특수 목적용 기계 제조업
458,어보브반도체,반도체 제조업
459,어스앤에어로스페이스,"항공기,우주선 및 부품 제조업"
460,얼라인드,사진장비 및 광학기기 제조업
461,에너토크,일반 목적용 기계 제조업
462,에브리봇,가정용 기기 제조업
463,에스디생명공학,기타 화학제품 제조업
464,에스디시스템,전자부품 제조업
465,에스맥,자동차 신품 부품 제조업
466,에스씨디,가정용 기기 제조업
467,에스씨엠생명과학,의약품 제조업
468,에스앤더블류,일반 목적용 기계 제조업
469,에스앤디,기타 식품 제조업
470,에스에너지,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
