,회사명,업종
471,에스에이티,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
472,에스에이티이엔지,특수 목적용 기계 제조업
473,에스엔유,특수 목적용 기계 제조업
474,에스엘바이오닉스,반도체 제조업
475,에스와이,"구조용 금속제품, 탱크 및 증기발생기 제조업"
476,에스제이그룹,"가죽, 가방 및 유사제품 제조업"
477,에스코넥,통신 및 방송 장비 제조업
478,에스텍,영상 및 음향기기 제조업
479,에스텍파마,의약품 제조업
480,에스티아이,특수 목적용 기계 제조업
481,에스티오,봉제의복 제조업
482,에스폴리텍,플라스틱제품 제조업
483,에스퓨얼셀,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
484,에스피시스템스,특수 목적용 기계 제조업
485,에스피지,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
486,에쎈테크,일반 목적용 기계 제조업
487,에이디칩스,그외 기타 제품 제조업
488,에이디테크놀로지,반도체 제조업
489,에이루트,컴퓨터 및 주변장치 제조업
490,에이비프로바이오,특수 목적용 기계 제조업
491,에이스침대,가구 제조업
492,에이에프더블류,일차전지 및 축전지 제조업
493,에이치앤비디자인,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
494,에이치와이티씨,기타 금속 가공제품 제조업
495,에이치케이,특수 목적용 기계 제조업
496,에이치피오,기타 식품 제조업
497,에이테크솔루션,특수 목적용 기계 제조업
498,에이텍,컴퓨터 및 주변장치 제조업
499,에이텍티앤,통신 및 방송 장비 제조업
500,에이티세미콘,반도체 제조업
501,에이프로,기타 전기장비 제조업
502,에이피티씨,특수 목적용 기계 제조업
503,에치에프알,통신 및 방송 장비 제조업
504,에코캡,자동차 신품 부품 제조업
505,에코프로에이치엔,기타 화학제품 제조업
506,에코플라스틱,자동차 신품 부품 제조업
507,에프알텍,통신 및 방송 장비 제조업
508,에프에스티,전자부품 제조업
509,에프엔에스테크,특수 목적용 기계 제조업
510,엑세스바이오,의료용품 및 기타 의약 관련제품 제조업
511,엑시콘,특수 목적용 기계 제조업
512,엔바이오니아,그외 기타 제품 제조업
513,엔브이에이치코리아,자동차 신품 부품 제조업
514,엔시스,기타 전기장비 제조업
515,엔시트론,반도체 제조업
516,엔에스,특수 목적용 기계 제조업
517,엔에프씨,기타 화학제품 제조업
518,엔켐,기초 화학물질 제조업
519,엔투텍,특수 목적용 기계 제조업
520,엔피디,전자부품 제조업
521,엔피케이,합성고무 및 플라스틱 물질 제조업
522,엘디티,반도체 제조업
523,엘비루셈,반도체 제조업
524,엘아이에스,특수 목적용 기계 제조업
525,엘앤케이바이오,의료용 기기 제조업
526,엘엠에스,전자부품 제조업
527,엘오티베큠,특수 목적용 기계 제조업
528,엘컴텍,전자부품 제조업
529,엘티씨,기초 화학물질 제조업
530,엠아이텍,의료용 기기 제조업
531,엠에스씨,기타 식품 제조업
532,엠에스오토텍,자동차 신품 부품 제조업
533,엠에프엠코리아,편조의복 제조업
534,엠케이전자,전자부품 제조업
535,엠투아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
536,엠투엔,기타 금속 가공제품 제조업
537,엠플러스,특수 목적용 기계 제조업
538,연우,플라스틱제품 제조업
539,연이비앤티,전자부품 제조업
540,영신금속,기타 금속 가공제품 제조업
541,영우디에스피,특수 목적용 기계 제조업
542,영창케미칼,기타 화학제품 제조업
543,영화테크,자동차 신품 부품 제조업
544,예선테크,플라스틱제품 제조업
545,예스티,특수 목적용 기계 제조업
546,오공,기타 화학제품 제조업
547,오디텍,반도체 제조업
548,오로스테크놀로지,특수 목적용 기계 제조업
549,오리엔탈정공,일반 목적용 기계 제조업
550,오리엔트정공,자동차 신품 부품 제조업
551,오성첨단소재,플라스틱제품 제조업
552,오션브릿지,특수 목적용 기계 제조업
553,오스테오닉,의료용 기기 제조업
554,오스템,자동차 신품 부품 제조업
555,오킨스전자,전자부품 제조업
556,오텍,자동차 재제조 부품 제조업
557,올리패스,기초 의약물질 및 생물학적 제제 제조업
558,옴니시스템,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
559,옵투스제약,의약품 제조업
560,옵트론텍,사진장비 및 광학기기 제조업
561,옵티시스,통신 및 방송 장비 제조업
562,옵티팜,의료용품 및 기타 의약 관련제품 제조업
563,와이아이케이,특수 목적용 기계 제조업
564,와이엠씨,전자부품 제조업
565,와이엠텍,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
566,와이엠티,기초 화학물질 제조업
567,와이제이엠게임즈,전자부품 제조업
568,와이지-원,기타 금속 가공제품 제조업
569,와이팜,전자부품 제조업
570,와토스코리아,플라스틱제품 제조업
571,우리기술,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
572,우리넷,통신 및 방송 장비 제조업
573,우리바이오,전구 및 조명장치 제조업
574,우리산업,자동차 신품 부품 제조업
575,우리산업홀딩스,자동차 신품 부품 제조업
576,우리이앤엘,반도체 제조업
577,우림피티에스,일반 목적용 기계 제조업
578,우수AMS,자동차 신품 부품 제조업
579,우주일렉트로,전자부품 제조업
580,우진비앤지,의약품 제조업
581,원바이오젠,의료용품 및 기타 의약 관련제품 제조업
582,원방테크,일반 목적용 기계 제조업
583,원익QNC,유리 및 유리제품 제조업
584,원익피앤이,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
585,원일특강,1차 철강 제조업
586,원준,특수 목적용 기계 제조업
587,원텍,의료용 기기 제조업
588,원풍,플라스틱제품 제조업
589,원풍물산,봉제의복 제조업
590,월덱스,전자부품 제조업
591,웨이브일렉트로,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
592,웰크론,직물직조 및 직물제품 제조업
593,웹스,합성고무 및 플라스틱 물질 제조업
594,위니아,가정용 기기 제조업
595,위더스제약,의약품 제조업
596,위드텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
597,위지트,특수 목적용 기계 제조업
598,윈텍,특수 목적용 기계 제조업
599,윈팩,반도체 제조업
600,윈하이텍,"구조용 금속제품, 탱크 및 증기발생기 제조업"
601,윌링스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
602,유네코,특수 목적용 기계 제조업
603,유니셈,특수 목적용 기계 제조업
604,유니슨,일반 목적용 기계 제조업
605,유니온커뮤니티,통신 및 방송 장비 제조업
606,유니크,자동차 신품 부품 제조업
607,유니테스트,특수 목적용 기계 제조업
608,유니테크노,자동차 신품 부품 제조업
609,유라테크,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
610,유바이오로직스,의약품 제조업
611,유비쿼스,통신 및 방송 장비 제조업
612,유아이디,전자부품 제조업
613,유아이엘,전자부품 제조업
614,유에스티,1차 철강 제조업
615,유일로보틱스,특수 목적용 기계 제조업
616,유일에너테크,특수 목적용 기계 제조업
617,유진로봇,특수 목적용 기계 제조업
618,유티아이,전자부품 제조업
619,육일씨엔에쓰,전자부품 제조업
620,이노메트리,특수 목적용 기계 제조업
621,이노시스,의료용 기기 제조업
622,이노와이어리스,통신 및 방송 장비 제조업
623,이노인스트루먼트,통신 및 방송 장비 제조업
624,이노테라피,의료용품 및 기타 의약 관련제품 제조업
625,이녹스,그외 기타 운송장비 제조업
626,이랜시스,전자부품 제조업
627,이랜텍,전자부품 제조업
628,이루다,의료용 기기 제조업
629,이미지스,반도체 제조업
630,이브이첨단소재,전자부품 제조업
631,이수앱지스,의료용품 및 기타 의약 관련제품 제조업
632,이엔드디,기타 화학제품 제조업
633,이엘피,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
634,이엠앤아이,플라스틱제품 제조업
635,이엠코리아,특수 목적용 기계 제조업
636,이엠텍,전자부품 제조업
637,이오플로우,의료용 기기 제조업
638,이원컴포텍,자동차 신품 부품 제조업
639,이즈미디어,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
640,이지바이오,동물용 사료 및 조제식품 제조업
641,이지트로닉스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
642,이큐셀,특수 목적용 기계 제조업
643,이화전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
644,인바디,의료용 기기 제조업
645,인바이오,"비료, 농약 및 살균, 살충제 제조업"
646,인베니아,특수 목적용 기계 제조업
647,인산가,기타 식품 제조업
648,인지디스플레,전자부품 제조업
649,인콘,통신 및 방송 장비 제조업
650,인탑스,통신 및 방송 장비 제조업
651,인터로조,의료용 기기 제조업
652,인터엠,영상 및 음향기기 제조업
653,인텍플러스,특수 목적용 기계 제조업
654,인텔리안테크,통신 및 방송 장비 제조업
655,인트로메딕,의료용 기기 제조업
656,인포마크,통신 및 방송 장비 제조업
657,일신바이오,일반 목적용 기계 제조업
658,일야,플라스틱제품 제조업
659,일지테크,자동차 신품 부품 제조업
660,잉글우드랩,기타 화학제품 제조업
661,잉크테크,기타 화학제품 제조업
662,자비스,특수 목적용 기계 제조업
663,자이글,가정용 기기 제조업
664,장원테크,통신 및 방송 장비 제조업
665,재영솔루텍,사진장비 및 광학기기 제조업
666,전진바이오팜,기타 화학제품 제조업
667,제너셈,특수 목적용 기계 제조업
668,제노레이,의료용 기기 제조업
669,제노코,통신 및 방송 장비 제조업
670,제노포커스,기초 의약물질 및 생물학적 제제 제조업
671,제놀루션,기초 의약물질 및 생물학적 제제 제조업
672,제닉,기타 화학제품 제조업
673,제룡산업,"구조용 금속제품, 탱크 및 증기발생기 제조업"
674,제룡전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
675,제우스,특수 목적용 기계 제조업
676,제이브이엠,일반 목적용 기계 제조업
677,제이스코홀딩스,1차 철강 제조업
678,제이스텍,특수 목적용 기계 제조업
679,제이시스메디칼,의료용 기기 제조업
680,제이씨케미칼,기타 화학제품 제조업
681,제이앤티씨,전자부품 제조업
682,제이에스티나,귀금속 및 장신용품 제조업
683,제이엔케이히터,일반 목적용 기계 제조업
684,제이엠티,전자부품 제조업
685,제이티,특수 목적용 기계 제조업
686,제일바이오,의약품 제조업
687,제일전기공업,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
688,제일테크노스,"구조용 금속제품, 탱크 및 증기발생기 제조업"
689,제주맥주,알코올음료 제조업
690,제주반도체,반도체 제조업
691,제테마,의료용품 및 기타 의약 관련제품 제조업
692,젠큐릭스,의료용품 및 기타 의약 관련제품 제조업
693,젬백스,특수 목적용 기계 제조업
694,조광ILI,일반 목적용 기계 제조업
695,조아제약,의약품 제조업
696,좋은사람들,봉제의복 제조업
697,중앙디앤엠,플라스틱제품 제조업
698,중앙백신,기초 의약물질 및 생물학적 제제 제조업
699,지나인제약,사진장비 및 광학기기 제조업
700,지노믹트리,의료용품 및 기타 의약 관련제품 제조업
701,지놈앤컴퍼니,기초 의약물질 및 생물학적 제제 제조업
702,지니틱스,반도체 제조업
703,지아이텍,특수 목적용 기계 제조업
704,지앤비에스엔지니어링,특수 목적용 기계 제조업
705,지에스이,연료용 가스 제조 및 배관공급업
706,지엔씨에너지,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
707,지엔코,봉제의복 제조업
708,지오엘리먼트,전자부품 제조업
709,지투파워,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
710,지티지웰니스,의료용 기기 제조업
711,진로발효,알코올음료 제조업
712,진성티이씨,특수 목적용 기계 제조업
713,진시스템,의료용 기기 제조업
714,진양제약,의약품 제조업
715,참존글로벌,특수 목적용 기계 제조업
716,창해에탄올,알코올음료 제조업
717,칩스앤미디어,반도체 제조업
718,카나리아바이오,동물용 사료 및 조제식품 제조업
719,캐스텍코리아,자동차 신품 부품 제조업
720,캠시스,전자부품 제조업
721,케스피온,통신 및 방송 장비 제조업
722,케이디켐,기타 화학제품 제조업
723,케이씨피드,동물용 사료 및 조제식품 제조업
724,케이에스피,일반 목적용 기계 제조업
725,케이엔더블유,전자부품 제조업
726,케이엔제이,특수 목적용 기계 제조업
727,케이엠,기타 섬유제품 제조업
728,케이엠제약,기타 화학제품 제조업
729,케이피에스,특수 목적용 기계 제조업
730,케이피에프,기타 금속 가공제품 제조업
731,케이피엠테크,기타 화학제품 제조업
732,케이피티유,기타 금속 가공제품 제조업
733,케일럼,"구조용 금속제품, 탱크 및 증기발생기 제조업"
734,켄코아에어로스페이스,"항공기,우주선 및 부품 제조업"
735,켐트로닉스,기타 화학제품 제조업
736,켐트로스,기타 화학제품 제조업
737,코다코,자동차 신품 부품 제조업
738,코데즈컴바인,봉제의복 제조업
739,코디,기타 화학제품 제조업
740,코디엠,특수 목적용 기계 제조업
741,코렌텍,의료용 기기 제조업
742,코리아나,기타 화학제품 제조업
743,코리아에스이,"구조용 금속제품, 탱크 및 증기발생기 제조업"
744,코리아에프티,자동차 신품 부품 제조업
745,코맥스,통신 및 방송 장비 제조업
746,코메론,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
747,코미코,특수 목적용 기계 제조업
748,코세스,특수 목적용 기계 제조업
749,코센,1차 철강 제조업
750,코스나인,기타 화학제품 제조업
751,코스맥스엔비티,기타 식품 제조업
752,코스메카코리아,기타 화학제품 제조업
753,코스온,기타 화학제품 제조업
754,코아스템,의약품 제조업
755,코아시아,반도체 제조업
756,코아시아옵틱스,사진장비 및 광학기기 제조업
757,코오롱티슈진,기초 의약물질 및 생물학적 제제 제조업
758,코위버,통신 및 방송 장비 제조업
759,코윈테크,특수 목적용 기계 제조업
760,코이즈,플라스틱제품 제조업
761,코콤,통신 및 방송 장비 제조업
762,코텍,영상 및 음향기기 제조업
763,코프라,합성고무 및 플라스틱 물질 제조업
764,퀀타매트릭스,의료용 기기 제조업
765,큐에스아이,반도체 제조업
766,크로바하이텍,반도체 제조업
767,크루셜텍,전자부품 제조업
768,크리스에프앤씨,봉제의복 제조업
769,크린앤사이언스,일반 목적용 기계 제조업
770,클라우드에어,반도체 제조업
771,클리노믹스,의료용품 및 기타 의약 관련제품 제조업
772,타이거일렉,전자부품 제조업
773,탑엔지니어링,특수 목적용 기계 제조업
774,탑코미디어,통신 및 방송 장비 제조업
775,태광,1차 철강 제조업
776,태성,특수 목적용 기계 제조업
777,태양,기타 금속 가공제품 제조업
778,태웅,기타 금속 가공제품 제조업
779,테고사이언스,기초 의약물질 및 생물학적 제제 제조업
780,테라사이언스,기타 금속 가공제품 제조업
781,테라젠이텍스,의약품 제조업
782,테크윙,특수 목적용 기계 제조업
783,텔레칩스,반도체 제조업
784,텔레필드,통신 및 방송 장비 제조업
785,토비스,영상 및 음향기기 제조업
786,트루윈,전자부품 제조업
787,티로보틱스,특수 목적용 기계 제조업
788,티앤알바이오팹,기초 의약물질 및 생물학적 제제 제조업
789,티앤엘,의료용품 및 기타 의약 관련제품 제조업
790,티에스넥스젠,특수 목적용 기계 제조업
791,티에스아이,특수 목적용 기계 제조업
792,티에스이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
793,티엘비,전자부품 제조업
794,티엘아이,반도체 제조업
795,티플랙스,기타 금속 가공제품 제조업
796,티피씨글로벌,자동차 신품 부품 제조업
797,팅크웨어,통신 및 방송 장비 제조업
798,파나진,의료용품 및 기타 의약 관련제품 제조업
799,파나케이아,특수 목적용 기계 제조업
800,파라텍,특수 목적용 기계 제조업
801,파루,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
802,파멥신,의약품 제조업
803,파버나인,전자부품 제조업
804,파세코,가정용 기기 제조업
805,파워넷,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
806,파워로직스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
807,파이버프로,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
808,파이오링크,통신 및 방송 장비 제조업
809,파인디앤씨,전자부품 제조업
810,파인디지털,통신 및 방송 장비 제조업
811,파인테크닉스,통신 및 방송 장비 제조업
812,파인텍,특수 목적용 기계 제조업
813,파커스,반도체 제조업
814,파크시스템스,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
815,팜스빌,기타 식품 제조업
816,팜스토리,동물용 사료 및 조제식품 제조업
817,패션플랫폼,봉제의복 제조업
818,팬스타엔터프라이즈,일반 목적용 기계 제조업
819,팬젠,의약품 제조업
820,펌텍코리아,플라스틱제품 제조업
821,펩트론,기초 의약물질 및 생물학적 제제 제조업
822,포메탈,기타 금속 가공제품 제조업
823,포인트모바일,컴퓨터 및 주변장치 제조업
824,포인트엔지니어링,기타 금속 가공제품 제조업
825,포커스에이치엔에스,영상 및 음향기기 제조업
826,폴라리스세원,자동차 신품 부품 제조업
827,폴라리스우노,화학섬유 제조업
828,푸른기술,컴퓨터 및 주변장치 제조업
829,풍강,기타 금속 가공제품 제조업
830,풍국주정,알코올음료 제조업
831,풍원정밀,전자부품 제조업
832,퓨런티어,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
833,퓨쳐켐,의약품 제조업
834,프럼파스트,플라스틱제품 제조업
835,프레스티지바이오로직스,의약품 제조업
836,프로스테믹스,"펄프, 종이 및 판지 제조업"
837,프로이천,반도체 제조업
838,프로텍,특수 목적용 기계 제조업
839,프롬바이오,기타 식품 제조업
840,프리시젼바이오,의료용 기기 제조업
841,프리엠스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
842,피델릭스,반도체 제조업
843,피씨엘,의료용품 및 기타 의약 관련제품 제조업
844,피앤씨테크,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
845,피에스엠씨,전자부품 제조업
846,피에스케이,특수 목적용 기계 제조업
847,피에스케이홀딩스,특수 목적용 기계 제조업
848,피에스텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
849,피에이치에이,자동차 신품 부품 제조업
850,피엔에이치테크,기초 화학물질 제조업
851,피제이메탈,1차 비철금속 제조업
852,피제이전자,의료용 기기 제조업
853,피코그램,그외 기타 제품 제조업
854,피플바이오,의료용품 및 기타 의약 관련제품 제조업
855,피피아이,통신 및 방송 장비 제조업
856,픽셀플러스,전자부품 제조업
857,필옵틱스,특수 목적용 기계 제조업
858,핌스,전자부품 제조업
859,하나기술,특수 목적용 기계 제조업
860,하나마이크론,반도체 제조업
861,하나머티리얼즈,반도체 제조업
862,하이딥,반도체 제조업
863,하이로닉,의료용 기기 제조업
864,하이록코리아,1차 철강 제조업
865,하이비젼시스템,사진장비 및 광학기기 제조업
866,하이소닉,전자부품 제조업
867,하이즈항공,"항공기,우주선 및 부품 제조업"
868,하이텍팜,기초 의약물질 및 생물학적 제제 제조업
869,하인크코리아,그외 기타 제품 제조업
870,하츠,가정용 기기 제조업
871,한국맥널티,기타 식품 제조업
872,한국비엔씨,기초 의약물질 및 생물학적 제제 제조업
873,한국선재,1차 철강 제조업
874,한국알콜,기타 화학제품 제조업
875,한국유니온제약,의약품 제조업
876,한국정밀기계,특수 목적용 기계 제조업
877,한국컴퓨터,전자부품 제조업
878,한국큐빅,플라스틱제품 제조업
879,한국파마,의약품 제조업
880,한국팩키지,"골판지, 종이 상자 및 종이용기 제조업"
881,한독크린텍,일반 목적용 기계 제조업
882,한송네오텍,특수 목적용 기계 제조업
883,한스바이오메드,의료용품 및 기타 의약 관련제품 제조업
884,한양디지텍,반도체 제조업
885,한일단조,자동차 신품 부품 제조업
886,한일사료,동물용 사료 및 조제식품 제조업
887,한일진공,특수 목적용 기계 제조업
888,한일화학,기초 화학물질 제조업
889,한창산업,1차 비철금속 제조업
890,한탑,"곡물가공품, 전분 및 전분제품 제조업"
891,해성옵틱스,사진장비 및 광학기기 제조업
892,해성티피씨,기타 금속 가공제품 제조업
893,현대공업,자동차 신품 부품 제조업
894,현대무벡스,일반 목적용 기계 제조업
895,현대에이치티,통신 및 방송 장비 제조업
896,현우산업,전자부품 제조업
897,협진,기타 화학제품 제조업
898,형지I&C,봉제의복 제조업
899,홈캐스트,영상 및 음향기기 제조업
900,화성밸브,일반 목적용 기계 제조업
901,화신정공,자동차 신품 부품 제조업
902,화일약품,의약품 제조업
903,효성오앤비,"비료, 농약 및 살균, 살충제 제조업"
904,휴럼,기타 식품 제조업
905,휴림로봇,특수 목적용 기계 제조업
906,휴마시스,의료용품 및 기타 의약 관련제품 제조업
907,휴맥스,영상 및 음향기기 제조업
908,휴메딕스,의약품 제조업
909,휴비츠,의료용 기기 제조업
910,휴센텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
911,휴엠앤씨,그외 기타 제품 제조업
912,휴온스글로벌,의약품 제조업
913,흥국,특수 목적용 기계 제조업
914,흥국에프엔비,비알코올음료 및 얼음 제조업
915,힘스,특수 목적용 기계 제조업
